"Date","Temp","Humid","p1","p2"
2022-05-02,25.50552546,92.08678223,3.588929412,3.396964706
2022-05-03,23.32825429,97.96049445,8.131457906,7.782941478
2022-05-04,22.38567073,99.73681402,14.07721444,13.28333088
2022-05-05,22.14151404,99.86178266,6.37011236,5.92298377
2022-05-06,23.32693247,97.28445891,4.586773234,4.393018587
2022-05-07,24.63685142,94.35872642,4.565743835,4.352557677
2022-05-08,23.80722433,98.19847909,4.253702395,4.037094621
2022-05-09,25.1006816,89.09776047,9.25179646,8.755699115
2022-05-10,24.68458693,85.47533909,13.30163578,12.73246645
2022-05-11,24.52985348,88.97423687,10.76017375,10.29709138
2022-05-12,24.82708505,85.49768786,13.22324687,12.62974061
2022-05-13,24.85901099,89.24335165,16.2221368,15.40499717
2022-05-14,26.1462203,87.65867531,15.10909294,14.34482528
2022-05-15,25.92003594,84.12407907,7.542636625,7.115819751
2022-05-16,24.33638716,88.06630435,12.78760084,12.05242535
2022-05-17,24.59716943,87.33574606,9.82552589,9.346824434
2022-05-18,23.64040733,78.09181263,8.450857493,8.032155982
2022-05-19,24.39229217,77.21436642,13.90972436,13.35399676
2022-05-20,25.60710764,73.20751849,11.45817248,10.90802875
2022-05-21,26.34766214,68.08303167,8.926486996,8.494466642
2022-05-22,26.3169861,73.94693724,9.668151071,9.230665163
2022-05-23,26.09928661,68.70944188,10.26797984,9.767597648
2022-05-24,26.11210351,65.8298414,11.41693111,10.90488518
2022-05-25,25.38015422,73.70905032,13.54568127,12.78270479
2022-05-26,25.26291608,89.43352086,9.286963788,8.826258124
2022-05-27,25.02325581,88.11636364,6.8131643,6.510182556
2022-05-28,24.63798883,84.34692737,11.53217132,11.03657356
2022-05-29,24.15058424,81.6458726,7.934820957,7.533030531
2022-05-30,23.46172624,83.28496077,6.160052333,5.859158308
2022-05-31,23.4673588,84.21179402,12.32018318,11.70863031
2022-06-01,24.27171375,80.4560452,6.999114878,6.668757062
2022-06-02,23.34058693,91.29401993,8.606800554,8.221666667
2022-06-03,22.8282318,89.07087667,12.23523892,11.50700695
2022-06-04,23.69831067,90.13308611,9.772615385,9.312596154
