"Date","Temp","Humid","p1","p2"
2018-10-28,18.589377105,82.14578527,14.9621584,8.5419437945
2018-10-29,19.46505131,79.8050268,63.0272317725,36.9750383425
2018-10-30,19.2090812,81.552222225,17.3155191075,11.0236409075
2018-10-31,20.680556125,70.741053125,19.84984056,10.948913985
2018-11-01,20.30475931,78.17694682,17.1913334725,10.21922734575
2018-11-02,19.83200626,81.4879646666667,21.74270549,13.84292083
2018-11-03,20.433396945,77.259637405,22.962753905,14.79268013
2018-11-04,20.5245614,69.89912281,15.2314076375,8.87683924475
2018-11-05,21.204982515,56.35708042,17.792548535,10.75042898375
2018-11-06,21.83229167,56.554253475,15.7665854325,9.221860345
2018-11-07,21.048608695,66.58095652,18.56182104,10.122258109
2018-11-08,22.0443787,61.18224852,18.34670523,8.30267815166667
2018-11-09,22.52802691,64.99058296,27.0733396766667,15.968750594
2018-11-10,21.605026,68.38284229,15.4763308133333,7.914517865
2018-11-11,20.39857398,76.53404635,14.79670945,8.421373208
2018-11-12,21.496593,69.139594845,16.3446887475,8.60321428075
2018-11-13,21.421936935,68.09454955,16.553040665,9.798788108
2018-11-14,21.56120209,63.69491289,16.771458465,9.208707185
2018-11-15,21.87840398,52.514805965,42.880008085,29.65554519125
2018-11-16,21.251004225,52.25726504,20.84649505,10.453571772
2018-11-17,22.049238095,71.51567619,171.3160078925,150.60813302175
2018-11-18,23.30634921,63.904497355,72.4590680575,62.81263613775
2018-11-19,22.530423915,67.6375,30.4119331475,22.81779314425
2018-11-20,21.4,72.967945545,77.6736622185,61.5661795365
2018-11-21,21.334436535,67.1398827,119.0507036225,85.44766789725
2018-11-22,21.970141645,68.642719545,93.3728608225,74.41169952375
2018-11-23,22.09467033,59.157252745,30.7616003325,21.93223237575
2018-11-24,21.421925135,62.891243315,19.1502340325,11.46867043575
2018-11-25,21.24336283,70.76035398,11.67294774225,7.9060780885
2018-11-26,19.58669002,86.55674256,36.90812764,30.60527724175
2018-11-27,20.31689895,79.95278746,13.58432442,7.79123076333333
2018-11-28,20.83858921,77.84253112,25.1046056633333,18.4110890163333
2018-11-29,21.202996255,73.500889515,72.817651155,60.834579305
2018-11-30,21.385801395,65.77595819,15.359514835,9.760242528
2018-12-01,20.534878685,78.31737435,19.5532867033333,12.548692318
2018-12-02,21.142274305,74.04314236,9.87993010366667,6.79138275633333
2018-12-03,21.173535155,79.856933595,12.3467392666667,8.37872608166667
2018-12-04,20.864772725,75.132604895,13.04552963,9.613153785
2018-12-05,21.57681624,72.431594795,37.5778408966667,29.4382420233333
2018-12-06,23.55716146,61.729730905,18.742149215,12.52291758375
2018-12-07,21.80528169,79.60352113,17.69405752,11.0617734603333
2018-12-08,20.34800693,84.62911612,12.2862499233333,8.21759818066667
2018-12-09,21.33888889,79.49114583,13.8870889666667,9.48498362166667
2018-12-10,20.52561404,84.36947368,20.1529757066667,13.5627200033333
2018-12-11,19.29711191,85.44747292,17.6371924433333,9.312410806
2018-12-12,21.504363,75.53228621,17.08235384,10.2088182513333
2018-12-13,19.20180019,85.767719255,18.6900439125,12.44996589725
2018-12-14,19.853689665,79.728851465,11.7198312753333,7.433096461
2018-12-15,19.42663178,83.60063764,16.9431724433333,11.6643437123333
2018-12-16,20.738127685,70.14638936,15.7752566533333,9.325373537
2018-12-17,21.21858801,71.86354782,21.8202595233333,12.538838622
2018-12-18,21.961778515,72.969319015,21.9492450333333,12.8381923
2018-12-19,20.854586955,78.19823913,20.91282162,14.0754600066667
2018-12-20,20.476150375,71.66638578,22.13398441,12.2938180713333
2018-12-21,20.38284948,71.51432213,24.4680379833333,12.907004686
2018-12-22,21.404428425,72.500279,21.5522786933333,12.1616880033333
2018-12-23,20.97747504,74.98367634,19.09911253,9.82920001533333
2018-12-24,20.44857756,71.96119512,19.65237344,10.3784081893333
2018-12-25,19.579167205,76.210119585,15.1541214766667,8.51519999466667
2018-12-26,20.67642981,75.52634315,18.48505056,10.451355912
2018-12-27,19.841564165,75.724834875,20.05512483,12.4162565596667
2018-12-28,20.4484018,72.32631327,18.0655571166667,10.3921956286667
2018-12-29,21.064347825,69.47558696,14.8637061666667,8.27615277666667
2018-12-30,21.302742575,73.44517665,13.6119005366667,7.19264026066667
2018-12-31,19.957070665,78.005390515,17.417185695,11.946462965
2019-01-01,20.210627505,68.30739133,15.833483055,9.0211472745
2019-01-02,18.363348865,72.65825277,14.5813506,7.997167667
2019-01-03,21.54953789,73.26451017,14.53390977,6.138308271
2019-01-04,18.482406305,90.446578485,15.619186675,10.982202938
2019-01-05,18.65291681,87.33180874,20.940138495,14.346142134
2019-01-06,21.041527905,73.9289062,18.27547013,11.7689055155
2019-01-07,21.640768655,65.129503015,28.17812616,14.75493578
2019-01-08,21.689107035,65.295917175,31.4112381166667,18.3021098866667
2019-01-09,23.16031893,57.72808334,19.3335637033333,9.16537205433333
2019-01-10,21.78971574,63.23534246,16.26368414,8.53679502766667
2019-01-11,21.30719926,65.766422515,26.34259582,14.5198146606667
2019-01-12,20.160466105,61.10326364,30.469400165,16.156721909
2019-01-13,19.97710437,60.87924603,18.52543474,9.6501506625
2019-01-14,20.710231845,68.616302655,22.052938125,12.1290248695
2019-01-15,21.74338036,70.180240365,18.515478765,10.4183339235
2019-01-16,22.49927536,73.5263285,20.83047998,11.925007847
2019-01-17,22.65504762,68.24019048,25.239413325,12.7592927905
2019-01-18,23.43845171,59.756569345,21.556976885,10.0760879775
2019-01-19,22.047931655,61.48164668,20.616895235,9.9647507475
2019-01-20,23.090447205,53.19557764,20.58269347,10.515780612
2019-01-21,19.907350765,62.408994075,21.190009415,9.811492258
2019-01-22,21.97176259,67.4868705,23.33499102,9.759102334
2019-01-23,20.5224924,76.47142857,26.04612805,11.44219512
2019-01-24,21.96778761,62.51504425,25.96304659,10.73109319
2019-01-25,23.40132212,50.02220926,25.21244413,11.8921229175
2019-01-26,22.30300885,64.02707965,24.2444385,8.3042959
2019-01-27,21.478138395,64.304409065,21.429310615,8.589722976
2019-01-28,20.79598327,67.891587755,25.043008635,9.9672638645
2019-01-29,21.3525394,65.23975482,29.9372028,13.434694057
2019-01-30,24.07239492,52.695928195,17.821349625,6.08112406
2019-01-31,22.61456093,53.379760305,31.837277505,16.5935644005
2019-02-01,25.034793625,45.61420814,22.11290392,7.440724871
2019-02-02,24.505923345,30.68684669,37.42068309,21.946846619
2019-02-03,20.82436143,55.58274266,18.31052793,7.6704519965
2019-02-04,20.460933115,63.17005106,25.9458547,11.7536513895
2019-02-05,21.57814685,62.83706294,20.69851399,6.833059441
2019-02-06,24.87812587,47.839184765,23.864340245,9.624417703
2019-02-07,22.416258995,59.424820145,22.86965795,9.319513601
2019-02-08,24.44373348,59.56132829,26.299985715,12.417669643
2019-02-09,25.103130435,57.338588935,27.952045965,11.01541525
2019-02-10,21.92308786,66.55148759,26.657080225,10.5023698625
2019-02-11,23.41739453,50.051017995,28.77243333,13.831818211
2019-02-12,21.622070425,59.385521125,26.48279321,11.0911640195
2019-02-13,23.07412272,51.757573385,27.54226897,10.2576274295
2019-02-14,24.054542255,51.58,27.81207967,15.181921498
2019-02-15,22.50166052,71.24889299,15.92014787,6.070203327
2019-02-16,23.35572139,74.16965174,15.58291771,6.410099751
2019-02-17,22.02595657,72.46950159,15.47131707,9.6340544555
2019-02-18,23.458600715,44.89497772,50.716968665,32.559632983
2019-02-19,20.80704193,68.86640916,25.105058045,13.8731724325
2019-02-20,25.927819715,51.92865897,22.84021744,10.684930145
2019-02-21,22.54035182,65.538472305,27.20670924,16.035966315
2019-02-22,22.390625,76.04107143,15.30502247,9.4835955055
2019-02-23,22.64086799,80.09529837,17.522330895,7.72824391
2019-02-24,22.617578945,66.8772807,17.07414377,9.412445813
